phase,streams,family,role,installed_box,profile_windows,profiled_seconds,frames,rows,rows_per_frame,compute_ms_per_row,attention_ms_per_row,moe_ms_per_row,moe_fallbacks,moe_nonfinite,spec_sent,spec_hits,spec_misses,system_samples,mean_pkg_w,mean_mhz,mean_temp,mean_swapin_s,min_mem_available_mib
mixed_a_c015,15,mixed,9,9,4,40.127,728,994,1.3653846153846154,27.154929577464788,6.564386317907445,17.520120724346075,0,0,0,0,0,15,19.066666666666666,1767.1333333333334,62.53333333333333,0,7440
mixed_a_c015,15,mixed,10,10,3,30.092,541,739,1.365988909426987,26.47767253044655,6.523680649526387,16.39512855209743,3,3,0,0,0,15,24.153333333333332,1983,63.733333333333334,0.4666666666666667,6339
mixed_a_c022,22,mixed,0,8,3,30.13,515,1030,2.0,22.401941747572817,4.921359223300971,10.284466019417476,0,0,0,0,0,15,19.906666666666666,1965.6,62.6,0,18315
mixed_a_c022,22,mixed,1,1,3,30.135,519,1038,2.0,25.91907514450867,5.127167630057803,16.34874759152216,0,0,0,0,0,15,21.22,1630.9333333333334,52.13333333333333,0,8731
mixed_a_c022,22,mixed,2,2,3,30.111,516,1032,2.0,27.89437984496124,5.494186046511628,17.912790697674417,0,0,0,0,0,15,22.02,1808.2,54.333333333333336,14.2,7664
mixed_a_c022,22,mixed,3,3,5,50.177,865,1730,2.0,28.808092485549132,5.820809248554913,18.598843930635837,0,0,0,0,0,15,22.82,1724.0666666666666,56,0.9333333333333333,8359
mixed_a_c022,22,mixed,4,4,3,30.117,516,1032,2.0,26.23062015503876,5.109496124031008,16.462209302325583,0,0,0,0,0,15,21.4,1559.2666666666667,52.666666666666664,0,7621
mixed_a_c022,22,mixed,5,5,5,50.194,865,1730,2.0,25.47630057803468,5.22543352601156,16.02485549132948,0,0,0,0,0,15,20.593333333333334,1770.7333333333333,52.2,0,7603
mixed_a_c022,22,mixed,6,6,4,40.15,694,1388,2.0,25.454610951008647,5.27521613832853,16.170749279538907,0,0,0,0,0,15,20.433333333333334,1839.2666666666667,52.53333333333333,0,7701
mixed_a_c022,22,mixed,7,7,4,40.176,689,1378,2.0,25.761248185776488,5.147314949201742,16.100145137880986,0,0,0,0,0,15,21.186666666666667,1716.1333333333334,52.93333333333333,0.4,7569
mixed_a_c022,22,mixed,8,0,5,50.189,865,1730,2.0,27.251445086705203,5.490751445086705,17.569364161849713,0,0,0,0,0,15,22.38,1813.8,54,7.8,8587
mixed_a_c022,22,mixed,9,9,3,30.154,519,1038,2.0,22.850674373795762,4.788053949903661,15.351637764932562,0,0,0,0,0,15,22.80666666666667,2094.2,62.93333333333333,0.4,7438
mixed_a_c022,22,mixed,10,10,4,40.183,689,1378,2.0,21.439042089985485,4.612481857764877,13.553701015965167,4,4,0,0,0,15,27.14,2035.4666666666667,62.2,0,6371
mixed_a_c032,32,mixed,0,8,4,40.214,533,1550,2.9080675422138835,19.440645161290323,3.932903225806452,9.92258064516129,0,0,0,0,0,19,19.86315789473684,2060.315789473684,63.1578947368421,0,18101
mixed_a_c032,32,mixed,1,1,3,30.194,397,1155,2.9093198992443323,23.563636363636363,4.174891774891775,15.672727272727272,0,0,0,0,0,19,22.742105263157896,1666.578947368421,56,0.10526315789473684,8569
mixed_a_c032,32,mixed,2,2,6,60.193,793,2306,2.9079445145018914,24.77623590633131,4.446227233304423,16.83781439722463,0,0,0,0,0,19,22.273684210526316,1891.7894736842106,57.94736842105263,0.3157894736842105,7487
mixed_a_c032,32,mixed,3,3,5,50.163,663,1929,2.909502262443439,25.73405909797823,4.688439606013478,17.663556246759978,0,0,0,0,0,19,22.647368421052633,1798.3684210526317,57.73684210526316,0.631578947368421,8185
mixed_a_c032,32,mixed,4,4,8,80.311,1062,3088,2.9077212806026367,23.616256476683937,4.231217616580311,15.55699481865285,0,0,0,0,0,19,21.92105263157895,1618.842105263158,57,0,7476
mixed_a_c032,32,mixed,5,5,5,50.164,663,1927,2.9064856711915534,22.856772184743125,4.270368448365335,15.093928386092372,0,0,0,0,0,19,21.121052631578948,1785.421052631579,55.89473684210526,0.05263157894736842,7456
mixed_a_c032,32,mixed,6,6,4,40.079,529,1539,2.9092627599243857,23.133203378817413,4.261208576998051,15.299545159194283,0,0,0,0,0,19,21.11578947368421,1868.6315789473683,56.1578947368421,0,7551
mixed_a_c032,32,mixed,7,7,2,20.09,264,768,2.909090909090909,22.963541666666668,4.16015625,15.166666666666666,0,0,0,0,0,19,21.731578947368423,1620.842105263158,56.63157894736842,0,7432
mixed_a_c032,32,mixed,8,0,6,60.228,800,2326,2.9075,24.68873602751505,4.466895958727429,16.631126397248494,0,0,0,0,0,19,23.057894736842105,1760.3684210526317,57.1578947368421,0.05263157894736842,8420
mixed_a_c032,32,mixed,9,9,3,30.11,396,1152,2.909090909090909,20.89236111111111,3.8324652777777777,14.461805555555555,0,0,0,0,0,19,22.936842105263157,2132.0526315789475,63.36842105263158,0,7285
mixed_a_c032,32,mixed,10,10,2,20.023,263,765,2.908745247148289,18.45359477124183,3.7254901960784315,12.090196078431372,2,2,0,0,0,19,25.78421052631579,2102.315789473684,62.26315789473684,0,5913
mixed_a_c048,48,mixed,0,8,8,80.28,847,3701,4.369539551357733,15.5363415293164,2.609024587949203,8.87543907052148,0,0,0,0,0,23,18.92608695652174,1926.6521739130435,63.43478260869565,0,17700
mixed_a_c048,48,mixed,1,1,9,90.321,952,4156,4.3655462184873945,19.363330125120306,2.764196342637151,13.841434071222329,0,0,0,0,0,23,22.495652173913044,1760.6521739130435,58,0,8183
mixed_a_c048,48,mixed,2,2,4,40.103,418,1826,4.368421052631579,20.360350492880613,2.936473165388828,14.881161007667032,0,0,0,0,0,23,21.795652173913044,1913.0434782608695,60,0.13043478260869565,7153
mixed_a_c048,48,mixed,3,3,7,70.407,743,3240,4.360699865410498,20.885802469135804,3.0925925925925926,15.324691358024692,0,0,0,0,0,23,22.13478260869565,1853.0869565217392,59.82608695652174,14.130434782608695,7823
mixed_a_c048,48,mixed,4,4,4,40.192,421,1842,4.375296912114014,19.547774158523342,2.7833876221498373,13.770358306188925,0,0,0,0,0,23,22.269565217391303,1742.3478260869565,57.608695652173914,0.043478260869565216,7148
mixed_a_c048,48,mixed,5,5,9,90.399,951,4148,4.361724500525763,19.109450337512055,2.8040019286403086,13.39175506268081,0,0,0,0,0,23,21.117391304347827,1681.608695652174,57,0,7101
mixed_a_c048,48,mixed,6,6,6,60.249,637,2779,4.362637362637362,19.14681540122346,2.779057214825477,13.445124145376035,0,0,0,0,0,23,21.104347826086958,1756.1739130434783,57.391304347826086,0,7211
mixed_a_c048,48,mixed,7,7,8,80.453,849,3709,4.36866902237927,18.967376651388513,2.7147479104880023,13.39228902669183,0,0,0,0,0,23,21.5,1794.7391304347825,58.21739130434783,0,7057
mixed_a_c048,48,mixed,8,0,8,80.172,845,3687,4.363313609467456,20.273664225657715,2.9053430973691348,14.632492541361541,0,0,0,0,0,23,23.169565217391305,1789.391304347826,58.82608695652174,0,8012
mixed_a_c048,48,mixed,9,9,8,80.222,846,3689,4.360520094562648,17.27378693412849,2.538357278395229,12.697207915424235,0,0,0,0,0,23,22.704347826086956,1886.9130434782608,63.391304347826086,0,6922
mixed_a_c048,48,mixed,10,10,8,80.415,849,3704,4.362779740871614,15.024838012958963,2.488390928725702,10.070464362850972,17,17,0,0,0,23,24.082608695652173,2139.1304347826085,63.52173913043478,37.130434782608695,6037
mixed_a_c064,64,mixed,0,8,9,90.554,834,4854,5.820143884892087,13.38504326328801,1.9536464771322621,8.180469715698393,0,0,0,0,0,25,19.156,1910.08,64.04,0,17304
mixed_a_c064,64,mixed,1,1,7,70.257,651,3788,5.818740399385561,16.964097148891234,2.1367476240760297,12.71700105596621,0,0,0,0,0,25,22.736,1691.76,59.04,0,7763
mixed_a_c064,64,mixed,2,2,7,70.214,642,3734,5.816199376947041,17.60712372790573,2.2495982860203534,13.379217996786288,0,0,0,0,0,25,22.296,1833.72,59.96,0.84,6764
mixed_a_c064,64,mixed,3,3,10,100.558,927,5393,5.817691477885653,18.11848692749861,2.3886519562395696,13.768403486000372,0,0,0,0,0,25,22.728,1879,59.96,0,7406
mixed_a_c064,64,mixed,4,4,8,80.485,741,4310,5.816464237516869,16.85104408352668,2.145707656612529,12.367053364269141,0,0,0,0,0,25,22.908,1693.28,58.2,0.12,6781
mixed_a_c064,64,mixed,5,5,6,60.325,541,3146,5.815157116451017,16.822631913541006,2.138270820089002,12.154799745708837,0,0,0,0,0,25,22.304,1732.48,57.4,0.04,6769
mixed_a_c064,64,mixed,6,6,7,70.448,637,3706,5.817896389324961,16.776578521316782,2.1559633027522938,12.297355639503508,0,0,0,0,0,25,22.06,1722.44,57.76,0,6826
mixed_a_c064,64,mixed,7,7,7,70.449,638,3712,5.818181818181818,16.75134698275862,2.1163793103448274,12.327855603448276,0,0,0,0,0,25,22.444,1786.92,58.96,0,6705
