chunks,concurrency,decode_tok_s,ended,family,family_index,finish_reason,phase,prompt_index,prompt_tokens,started,tokens,ttft_s,wall_s
128,1,5.086205594183845,1790024852.851267,explanation,0,length,mixed_a_c001,0,28,1790024824.947103,128,2.934467077255249,27.90416407585144
128,1,7.06599364112236,1790024872.985586,code,1,length,mixed_a_c001,0,33,1790024852.853484,128,2.158579111099243,20.132102012634277
128,1,8.87701996069009,1790024889.7066822,arithmetic,2,length,mixed_a_c001,0,48,1790024872.987322,128,2.412632942199707,16.71936011314392
128,1,5.307229002451595,1790024915.769155,story,3,length,mixed_a_c001,0,31,1790024889.708533,128,2.1308648586273193,26.060621976852417
128,1,3.554645867918747,1790024953.62867,tips,4,length,mixed_a_c001,0,28,1790024915.7710552,128,2.1295979022979736,37.85761475563049
128,1,3.7604408297101113,1790024989.572226,table,5,length,mixed_a_c001,0,34,1790024953.6304939,128,2.168968915939331,35.94173216819763
128,1,7.364891757191849,1790025009.122404,rewrite,6,length,mixed_a_c001,0,44,1790024989.574039,128,2.3042151927948,19.548365116119385
128,1,6.11646480872296,1790025032.040807,facts,7,length,mixed_a_c001,0,29,1790025009.124419,128,2.152705192565918,22.916388034820557
128,1,5.127445901265389,1790025058.8483992,poem,8,length,mixed_a_c001,0,25,1790025032.0416372,128,2.0379629135131836,26.806761980056763
128,1,4.6193544448344905,1790025088.537663,instructions,9,length,mixed_a_c001,0,33,1790025058.850209,128,2.194330930709839,29.687453985214233
128,1,7.999795873849378,1790025106.7121909,translation,10,length,mixed_a_c001,0,36,1790025088.5395489,128,2.2971010208129883,18.17264199256897
128,1,10.9211510344857,1790025120.6364758,true_false,11,length,mixed_a_c001,0,39,1790025106.71385,128,2.2936758995056152,13.92262578010559
128,2,2.2922229922876713,1790025183.7242508,explanation,0,length,mixed_a_c002,0,28,1790025126.143019,128,2.1760661602020264,57.58123183250427
128,2,2.293217461370149,1790025183.2265239,code,1,length,mixed_a_c002,0,33,1790025126.16011,128,1.6856658458709717,57.06641387939453
128,2,2.2796818538805184,1790025241.372743,arithmetic,2,length,mixed_a_c002,0,48,1790025183.7267368,128,1.9363222122192383,57.64600610733032
128,2,2.2799352529875803,1790025241.858538,story,3,length,mixed_a_c002,0,31,1790025183.743788,128,2.411289930343628,58.114749908447266
128,2,2.2824154460985144,1790025299.724666,tips,4,length,mixed_a_c002,0,28,1790025241.861004,128,2.220733880996704,57.863662004470825
128,2,2.2835083133233933,1790025299.224697,table,5,length,mixed_a_c002,0,34,1790025241.878062,128,1.730316162109375,57.34663510322571
128,2,2.2920323481884535,1790025358.146386,rewrite,6,length,mixed_a_c002,0,44,1790025299.7269309,128,3.010003089904785,58.41945505142212
128,2,2.267666977488758,1790025357.649951,facts,7,length,mixed_a_c002,0,29,1790025299.743993,128,1.9011149406433105,57.9059579372406
128,2,2.2829662252865286,1790025416.0024781,poem,8,length,mixed_a_c002,0,25,1790025358.148884,128,2.224108934402466,57.853594064712524
128,2,2.284026184605152,1790025415.5266812,instructions,9,length,mixed_a_c002,0,33,1790025358.1659122,128,1.7570769786834717,57.36076903343201
128,2,2.245962848903536,1790025474.43512,translation,10,length,mixed_a_c002,0,36,1790025416.004679,128,1.8843979835510254,58.43044114112854
128,2,2.266959503001074,1790025474.93144,true_false,11,length,mixed_a_c002,0,39,1790025416.021728,128,2.8874099254608154,58.909712076187134
128,4,2.2940005483104486,1790025539.450159,explanation,0,length,mixed_a_c004,0,28,1790025480.432311,128,3.655930757522583,59.01784801483154
128,4,2.2568020031588225,1790025538.961378,code,1,length,mixed_a_c004,0,33,1790025480.4493482,128,2.2375688552856445,58.51202988624573
128,4,2.287082721584114,1790025539.6866481,arithmetic,2,length,mixed_a_c004,0,48,1790025480.46434,128,3.692945957183838,59.22230815887451
128,4,2.293637800576629,1790025539.493731,story,3,length,mixed_a_c004,0,31,1790025480.479352,128,3.6437230110168457,59.014379024505615
128,4,2.290958226862392,1790025598.442585,tips,4,length,mixed_a_c004,0,28,1790025539.6901078,128,3.316730260848999,58.752477169036865
128,4,2.2614048787501555,1790025597.959719,table,5,length,mixed_a_c004,0,34,1790025539.707127,128,2.0926740169525146,58.25259184837341
128,4,2.292242552633257,1790025598.608759,rewrite,6,length,mixed_a_c004,0,44,1790025539.722142,128,3.4822640419006348,58.886616945266724
128,4,2.290572259227676,1790025598.4868631,facts,7,length,mixed_a_c004,0,29,1790025539.737155,128,3.304098129272461,58.74970817565918
128,4,2.3156878775775995,1790025656.643649,poem,8,length,mixed_a_c004,0,25,1790025598.6118379,128,3.1883721351623535,58.031811237335205
128,4,2.2872649512531176,1790025656.156401,instructions,9,length,mixed_a_c004,0,33,1790025598.628861,128,2.0026049613952637,57.5275399684906
128,4,2.315222849289642,1790025656.686843,translation,10,length,mixed_a_c004,0,36,1790025598.642516,128,3.1898691654205322,58.04432702064514
128,4,2.3204979548140043,1790025657.17507,true_false,11,length,mixed_a_c004,0,39,1790025598.658881,128,3.7864468097686768,58.516189098358154
